term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
CPK increased,Investigations,CTCAE v5.0,,>ULN - 2.5 × ULN,>2.5 × ULN - 5 × ULN,>5 × ULN - 10 × ULN,>10 × ULN,-,A finding based on laboratory test results that indicate an increase in levels of creatine phosphokinase in a blood specimen.,Also consider Cardiac disorders: Heart failure or Cardiac disorders: Myocardial infarction. Report Cardiac disorders: Heart failure or Cardiac disorders: Myocardial infarction if same grade event.,86
Creatinine increased,Investigations,CTCAE v5.0,,>ULN - 1.5 × ULN,>1.5 - 3.0 × baseline; >1.5 - 3.0 × ULN,>3.0 × baseline; >3.0 - 6.0 × ULN,>6.0 × ULN,-,A finding based on laboratory test results that indicate increased levels of creatinine in a biological specimen.,Also consider Renal and urinary disorders: Acute kidney injury,86
Ejection fraction decreased,Investigations,CTCAE v5.0,,-,Resting ejection fraction (EF) 50 - 40%; 10 - 19% drop from baseline,Resting ejection fraction (EF) 39 - 20%; ≥20% drop from baseline,Resting ejection fraction (EF) <20%,-,The percentage computed when the amount of blood ejected during a ventricular contraction of the heart is compared to the amount that was present prior to the contraction.,Also consider Cardiac disorders: Left ventricular systolic dysfunction. Report Cardiac disorders: Left ventricular systolic dysfunction if same grade event.,87
Electrocardiogram QT corrected interval prolonged,Investigations,CTCAE v5.0,,Average QTc 450 - 480 ms,Average QTc 481 - 500 ms,Average QTc ≥ 501 ms; >60 ms change from baseline,Torsade de pointes; polymorphic ventricular tachycardia; signs/symptoms of serious arrhythmia,-,A finding of a cardiac dysrhythmia characterized by an abnormally long corrected QT interval.,-,87
Electrocardiogram T wave abnormal,Investigations,CTCAE v5.0,,T wave flattening,Nonspecific ST segment change,-,-,-,A disorder characterized by Electrocardiogram T wave amplitude changes.,-,87
Fibrinogen decreased,Investigations,CTCAE v5.0,,"<1.0 - 0.75 × LLN; if abnormal, <25% decrease from baseline","<0.75 - 0.5 × LLN; if abnormal, 25 - <50% decrease from baseline","<0.5 - 0.25 × LLN; if abnormal, 50 - <75% decrease from baseline","<0.25 × LLN; if abnormal, 75% decrease from baseline; absolute value <50 mg/dL",-,A finding based on laboratory test results that indicate an decrease in levels of fibrinogen in a blood specimen.,-,87
Forced expiratory volume decreased,Investigations,CTCAE v5.0,,FEV1% (percentages of observed FEV1 and FVC related to their respective predicted values) 99 - 70% predicted,FEV1 60 - 69%,50 - 59%,≤ 49%,-,A finding based on test results that indicate a relative decrease in the fraction of the forced vital capacity that is exhaled in a specific number of seconds.,"Also consider Respiratory, thoracic and mediastinal disorders: Respiratory failure or Dyspnea",87
GGT increased,Investigations,CTCAE v5.0,,>ULN - 2.5 × ULN if baseline was normal; 2.0 - 2.5 × baseline if baseline was abnormal,>2.5 - 5.0 × ULN if baseline was normal; >2.5 - 5.0 × baseline if baseline was abnormal,>5.0 - 20.0 × ULN if baseline was normal; >5.0 - 20.0 × baseline if baseline was abnormal,>20.0 × ULN if baseline was normal; >20.0 × baseline if baseline was abnormal,-,"A finding based on laboratory test results that indicate higher than normal levels of the enzyme gamma-glutamyltransferase in the blood specimen. GGT (gamma- glutamyltransferase) catalyzes the transfer of a gamma glutamyl group from a gamma glutamyl peptide to another peptide, amino acids or water.",-,87
Growth hormone abnormal,Investigations,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; medical intervention indicated; limiting instrumental ADL,-,-,-,A finding based on laboratory test results that indicate abnormal levels of growth hormone in a biological specimen.,-,88
Haptoglobin decreased,Investigations,CTCAE v5.0,,<LLN,-,-,-,-,A finding based on laboratory test results that indicate an decrease in levels of haptoglobin in a blood specimen.,-,88
Hemoglobin increased,Investigations,CTCAE v5.0,,Increase in >0 - 2 g/dL,Increase in >2 - 4 g/dL,Increase in >4 g/dL,-,-,A finding based on laboratory test results that indicate increased levels of hemoglobin above normal.,-,88
INR increased,Investigations,CTCAE v5.0,,>1.2 - 1.5; >1 - 1.5 × baseline if on anticoagulation; monitoring only indicated,>1.5 - 2.5; >1.5 - 2.5 × baseline if on anticoagulation; dose adjustment indicated,>2.5; >2.5 × baseline if on anticoagulation; bleeding,-,-,A finding based on laboratory test results that indicate an increase in the ratio of the patient's prothrombin time to a control sample in the blood.,-,88
Lipase increased,Investigations,CTCAE v5.0,,>ULN - 1.5 × ULN,>1.5 - 2.0 × ULN; >2.0 - 5.0 × ULN and asymptomatic,>2.0 - 5.0 × ULN with signs or symptoms; >5.0 × ULN and asymptomatic,>5.0 × ULN and with signs or symptoms,-,A finding based on laboratory test results that indicate an increase in the level of lipase in a biological specimen.,-,88
Lymphocyte count decreased,Investigations,CTCAE v5.0,,<LLN - 800/mm3; <LLN - 0.8 × 10^9/L,<800 - 500/mm3; <0.8 - 0.5 × 10^9 /L,<500 - 200/mm3; <0.5 - 0.2 × 10^9 /L,<200/mm3; <0.2 × 10^9 /L,-,A finding based on laboratory test results that indicate a decrease in number of lymphocytes in a blood specimen.,-,88
Lymphocyte count increased,Investigations,CTCAE v5.0,,-,">4000/mm3 - 20,000/mm3",">20,000/mm3",-,-,"A finding based on laboratory test results that indicate an abnormal increase in the number of lymphocytes in the blood, effusions or bone marrow.",-,88
Neutrophil count decreased,Investigations,CTCAE v5.0,,<LLN - 1500/mm3; <LLN - 1.5 × 10^9 /L,<1500 - 1000/mm3; <1.5 - 1.0 × 10^9 /L,<1000 - 500/mm3; <1.0 - 0.5 × 10^9 /L,<500/mm3; <0.5 × 10^9 /L,-,A finding based on laboratory test results that indicate a decrease in number of neutrophils in a blood specimen.,-,88
Pancreatic enzymes decreased,Investigations,CTCAE v5.0,,<LLN and asymptomatic,"Increase in stool frequency, bulk, or odor; steatorrhea",Sequelae of absorption deficiency,-,-,A finding based on laboratory test results that indicate an decrease in levels of pancreatic enzymes in a biological specimen.,-,88
Platelet count decreased,Investigations,CTCAE v5.0,,"<LLN - 75,000/mm3; <LLN - 75.0 × 10^9 /L","<75,000 - 50,000/mm3; <75.0 - 50.0 × 10^9 /L","<50,000 - 25,000/mm3; <50.0 - 25.0 × 10^9 /L","<25,000/mm3; <25.0 × 10^9 /L",-,A finding based on laboratory test results that indicate a decrease in number of platelets in a blood specimen.,-,89
Serum amylase increased,Investigations,CTCAE v5.0,,>ULN - 1.5 × ULN,>1.5 - 2.0 × ULN; >2.0 - 5.0 × ULN and asymptomatic,>2.0 - 5.0 × ULN with signs or symptoms; >5.0 × ULN and asymptomatic,>5.0 × ULN and with signs or symptoms,-,A finding based on laboratory test results that indicate an increase in the levels of amylase in a serum specimen.,-,89
Thyroid stimulating hormone increased,Investigations,CTCAE v5.0,,TSH increased and no intervention initiated,-,-,-,-,A disorder characterized by an increase in thyroid stimulating hormone.,"If intervention initiated or symptomatic, report as Endocrine disorders: Hypothyroidism.",89
Urine output decreased,Investigations,CTCAE v5.0,,-,-,Adult: Oliguria (<80 ml in 8 hr); Infants: < 0.5 mL/kg per hour for 24 hours; Children: < 500 mL/1.73 m2 body surface area per day,Adult: Anuria (<240 ml in 24 hr); Pediatric: No urine output over 12 hours,-,A finding based on test results that indicate urine production is less relative to previous output.,-,89
Vital capacity abnormal,Investigations,CTCAE v5.0,,90 - 75% of predicted value,<75 - 50% of predicted value; limiting instrumental ADL,<50% of predicted value; limiting self care ADL,-,-,A finding based on pulmonary function test results that indicate an abnormal vital capacity (amount of exhaled after a maximum inhalation) when compared to the predicted value.,"Also consider Investigations: Forced Expiratory Volume; Respiratory, thoracic and mediastinal disorders: Respiratory failure or Dyspnea",89
Weight gain,Investigations,CTCAE v5.0,,5 - <10% from baseline,10 - <20% from baseline,≥20% from baseline,-,-,"A finding characterized by an unexpected or abnormal increase in overall body weight; for pediatrics, greater than the baseline growth curve.","Do not use Metabolism and nutrition disorders: Obesity, this term is being retired.",89
Weight loss,Investigations,CTCAE v5.0,,5 to <10% from baseline; intervention not indicated,10 - <20% from baseline; nutritional support indicated,≥20% from baseline; tube feeding or TPN indicated,-,-,"A finding characterized by a decrease in overall body weight; for pediatrics, less than the baseline growth curve.",-,89
